service_id,date,exception_type
2025827,20161223,1
2025826,20161110,1
2025826,20161118,1
2025826,20161125,1
2025826,20161202,1
2025826,20161209,1
2025826,20161216,1
2025828,20161230,1
12025820,20161114,1
12025820,20161121,1
12025820,20161128,1
12025820,20161205,1
12025820,20161212,1
12025820,20161219,1
12025820,20161226,1
12025823,20161227,1
12025823,20161228,1
12025823,20161229,1
12025823,20161230,1
2025821,20161109,1
2025821,20161114,1
2025821,20161115,1
2025821,20161116,1
2025821,20161117,1
2025821,20161121,1
2025821,20161122,1
2025821,20161123,1
2025821,20161124,1
2025821,20161128,1
2025821,20161129,1
2025821,20161130,1
2025821,20161201,1
2025821,20161205,1
2025821,20161206,1
2025821,20161207,1
2025821,20161208,1
2025821,20161212,1
2025821,20161213,1
2025821,20161214,1
2025821,20161215,1
12025822,20161220,1
12025822,20161221,1
12025822,20161222,1
12025822,20161223,1
2025820,20161113,1
2025820,20161120,1
2025820,20161127,1
2025820,20161204,1
2025820,20161211,1
2025820,20161218,1
2025820,20161225,1
12025821,20161110,1
12025821,20161115,1
12025821,20161116,1
12025821,20161117,1
12025821,20161118,1
12025821,20161122,1
12025821,20161123,1
12025821,20161124,1
12025821,20161125,1
12025821,20161129,1
12025821,20161130,1
12025821,20161201,1
12025821,20161202,1
12025821,20161206,1
12025821,20161207,1
12025821,20161208,1
12025821,20161209,1
12025821,20161213,1
12025821,20161214,1
12025821,20161215,1
12025821,20161216,1
2025823,20161226,1
2025823,20161227,1
2025823,20161228,1
2025823,20161229,1
12025828,20161231,1
2025822,20161219,1
2025822,20161220,1
2025822,20161221,1
2025822,20161222,1
12025827,20161224,1
12025826,20161111,1
12025826,20161119,1
12025826,20161126,1
12025826,20161203,1
12025826,20161210,1
12025826,20161217,1
2025825,20161111,1
2025825,20161112,1
2025825,20161119,1
2025825,20161126,1
2025825,20161203,1
2025825,20161210,1
2025825,20161217,1
2025825,20161224,1
2025825,20161231,1
12025825,20161112,1
12025825,20161113,1
12025825,20161120,1
12025825,20161127,1
12025825,20161204,1
12025825,20161211,1
12025825,20161218,1
12025825,20161225,1
12025825,20170101,1
12280374,20170108,1
12280374,20170115,1
12280374,20170122,1
12280374,20170129,1
12280374,20170205,1
12280374,20170212,1
12280374,20170219,1
12280374,20170226,1
12280374,20170305,1
12280374,20170312,1
12280374,20170319,1
12280374,20170326,1
12280374,20170402,1
12280374,20170409,1
12280374,20170416,1
12280374,20170417,1
12280374,20170423,1
12280374,20170430,1
12280374,20170501,1
12280374,20170507,1
12280374,20170508,1
12280375,20170103,1
12280375,20170104,1
12280375,20170105,1
12280375,20170106,1
12280375,20170110,1
12280375,20170111,1
12280375,20170112,1
12280375,20170113,1
12280375,20170117,1
12280375,20170118,1
12280375,20170119,1
12280375,20170120,1
12280375,20170124,1
12280375,20170125,1
12280375,20170126,1
12280375,20170127,1
12280375,20170131,1
12280375,20170201,1
12280375,20170202,1
12280375,20170203,1
12280375,20170221,1
12280375,20170222,1
12280375,20170223,1
12280375,20170224,1
12280375,20170228,1
12280375,20170301,1
12280375,20170302,1
12280375,20170303,1
12280375,20170307,1
12280375,20170308,1
12280375,20170309,1
12280375,20170310,1
12280375,20170314,1
12280375,20170315,1
12280375,20170316,1
12280375,20170317,1
12280375,20170321,1
12280375,20170322,1
12280375,20170323,1
12280375,20170324,1
12280375,20170328,1
12280375,20170329,1
12280375,20170330,1
12280375,20170331,1
12280375,20170404,1
12280375,20170405,1
12280375,20170406,1
12280375,20170407,1
12280375,20170425,1
12280375,20170426,1
12280375,20170427,1
12280375,20170428,1
12280372,20170102,1
12280372,20170109,1
12280372,20170116,1
12280372,20170123,1
12280372,20170130,1
12280372,20170206,1
12280372,20170213,1
12280372,20170220,1
12280372,20170227,1
12280372,20170306,1
12280372,20170313,1
12280372,20170320,1
12280372,20170327,1
12280372,20170403,1
12280372,20170410,1
12280372,20170418,1
12280372,20170424,1
12280372,20170502,1
12280378,20170107,1
12280378,20170114,1
12280378,20170121,1
12280378,20170128,1
12280378,20170204,1
12280378,20170225,1
12280378,20170304,1
12280378,20170311,1
12280378,20170318,1
12280378,20170325,1
12280378,20170401,1
12280378,20170408,1
12280378,20170429,1
12280379,20170211,1
12280379,20170218,1
12280379,20170415,1
12280379,20170422,1
12280379,20170506,1
12280376,20170207,1
12280376,20170208,1
12280376,20170209,1
12280376,20170210,1
12280376,20170214,1
12280376,20170215,1
12280376,20170216,1
12280376,20170217,1
12280376,20170411,1
12280376,20170412,1
12280376,20170413,1
12280376,20170414,1
12280376,20170419,1
12280376,20170420,1
12280376,20170421,1
12280376,20170503,1
12280376,20170504,1
12280376,20170505,1
2280372,20170101,1
2280372,20170108,1
2280372,20170115,1
2280372,20170122,1
2280372,20170129,1
2280372,20170205,1
2280372,20170212,1
2280372,20170219,1
2280372,20170226,1
2280372,20170305,1
2280372,20170312,1
2280372,20170319,1
2280372,20170326,1
2280372,20170402,1
2280372,20170409,1
2280372,20170417,1
2280372,20170423,1
2280372,20170501,1
2280375,20170102,1
2280375,20170103,1
2280375,20170104,1
2280375,20170105,1
2280375,20170109,1
2280375,20170110,1
2280375,20170111,1
2280375,20170112,1
2280375,20170116,1
2280375,20170117,1
2280375,20170118,1
2280375,20170119,1
2280375,20170123,1
2280375,20170124,1
2280375,20170125,1
2280375,20170126,1
2280375,20170130,1
2280375,20170131,1
2280375,20170201,1
2280375,20170202,1
2280375,20170220,1
2280375,20170221,1
2280375,20170222,1
2280375,20170223,1
2280375,20170227,1
2280375,20170228,1
2280375,20170301,1
2280375,20170302,1
2280375,20170306,1
2280375,20170307,1
2280375,20170308,1
2280375,20170309,1
2280375,20170313,1
2280375,20170314,1
2280375,20170315,1
2280375,20170316,1
2280375,20170320,1
2280375,20170321,1
2280375,20170322,1
2280375,20170323,1
2280375,20170327,1
2280375,20170328,1
2280375,20170329,1
2280375,20170330,1
2280375,20170403,1
2280375,20170404,1
2280375,20170405,1
2280375,20170406,1
2280375,20170424,1
2280375,20170425,1
2280375,20170426,1
2280375,20170427,1
2280376,20170206,1
2280376,20170207,1
2280376,20170208,1
2280376,20170209,1
2280376,20170213,1
2280376,20170214,1
2280376,20170215,1
2280376,20170216,1
2280376,20170410,1
2280376,20170411,1
2280376,20170412,1
2280376,20170413,1
2280376,20170418,1
2280376,20170419,1
2280376,20170420,1
2280376,20170502,1
2280376,20170503,1
2280376,20170504,1
1132942,20161111,1
1132942,20161112,1
1132942,20161113,1
1132942,20161119,1
1132942,20161120,1
1132942,20161126,1
1132942,20161127,1
1132942,20161203,1
1132942,20161204,1
1132942,20161210,1
1132942,20161211,1
1132942,20161217,1
1132942,20161218,1
1132942,20161224,1
1132942,20161225,1
1132942,20161231,1
1132942,20170101,1
1132942,20170107,1
1132942,20170108,1
1132942,20170114,1
1132942,20170115,1
1132942,20170121,1
1132942,20170122,1
1132942,20170128,1
1132942,20170129,1
1132942,20170204,1
1132942,20170205,1
1132942,20170211,1
1132942,20170212,1
1132942,20170218,1
1132942,20170219,1
1132942,20170225,1
1132942,20170226,1
1132942,20170304,1
1132942,20170305,1
1132942,20170311,1
1132942,20170312,1
1132942,20170318,1
1132942,20170319,1
1132942,20170325,1
1132942,20170326,1
1132942,20170401,1
1132942,20170402,1
1132942,20170408,1
1132942,20170409,1
1132942,20170415,1
1132942,20170416,1
1132942,20170417,1
1132942,20170422,1
1132942,20170423,1
1132942,20170429,1
1132942,20170430,1
1132942,20170501,1
1132942,20170506,1
1132942,20170507,1
1132941,20161109,1
1132941,20161110,1
1132941,20161114,1
1132941,20161115,1
1132941,20161116,1
1132941,20161117,1
1132941,20161118,1
1132941,20161121,1
1132941,20161122,1
1132941,20161123,1
1132941,20161124,1
1132941,20161125,1
1132941,20161128,1
1132941,20161129,1
1132941,20161130,1
1132941,20161201,1
1132941,20161202,1
1132941,20161205,1
1132941,20161206,1
1132941,20161207,1
1132941,20161208,1
1132941,20161209,1
1132941,20161212,1
1132941,20161213,1
1132941,20161214,1
1132941,20161215,1
1132941,20161216,1
1132941,20161219,1
1132941,20161220,1
1132941,20161221,1
1132941,20161222,1
1132941,20161223,1
1132941,20161226,1
1132941,20161227,1
1132941,20161228,1
1132941,20161229,1
1132941,20161230,1
1132941,20170102,1
1132941,20170103,1
1132941,20170104,1
1132941,20170105,1
1132941,20170106,1
1132941,20170109,1
1132941,20170110,1
1132941,20170111,1
1132941,20170112,1
1132941,20170113,1
1132941,20170116,1
1132941,20170117,1
1132941,20170118,1
1132941,20170119,1
1132941,20170120,1
1132941,20170123,1
1132941,20170124,1
1132941,20170125,1
1132941,20170126,1
1132941,20170127,1
1132941,20170130,1
1132941,20170131,1
1132941,20170201,1
1132941,20170202,1
1132941,20170203,1
1132941,20170206,1
1132941,20170207,1
1132941,20170208,1
1132941,20170209,1
1132941,20170210,1
1132941,20170213,1
1132941,20170214,1
1132941,20170215,1
1132941,20170216,1
1132941,20170217,1
1132941,20170220,1
1132941,20170221,1
1132941,20170222,1
1132941,20170223,1
1132941,20170224,1
1132941,20170227,1
1132941,20170228,1
1132941,20170301,1
1132941,20170302,1
1132941,20170303,1
1132941,20170306,1
1132941,20170307,1
1132941,20170308,1
1132941,20170309,1
1132941,20170310,1
1132941,20170313,1
1132941,20170314,1
1132941,20170315,1
1132941,20170316,1
1132941,20170317,1
1132941,20170320,1
1132941,20170321,1
1132941,20170322,1
1132941,20170323,1
1132941,20170324,1
1132941,20170327,1
1132941,20170328,1
1132941,20170329,1
1132941,20170330,1
1132941,20170331,1
1132941,20170403,1
1132941,20170404,1
1132941,20170405,1
1132941,20170406,1
1132941,20170407,1
1132941,20170410,1
1132941,20170411,1
1132941,20170412,1
1132941,20170413,1
1132941,20170414,1
1132941,20170418,1
1132941,20170419,1
1132941,20170420,1
1132941,20170421,1
1132941,20170424,1
