service_id,date,exception_type
12282696,20170227,1
12282696,20170306,1
12282696,20170502,1
12282706,20170211,1
12282706,20170218,1
12282706,20170415,1
12282706,20170422,1
12282706,20170506,1
12282695,20170102,1
12282695,20170109,1
12282695,20170116,1
12282695,20170123,1
12282695,20170130,1
12282695,20170206,1
12282695,20170213,1
12282695,20170220,1
12282695,20170313,1
12282695,20170320,1
12282695,20170327,1
12282695,20170403,1
12282695,20170410,1
12282695,20170418,1
12282695,20170424,1
12282698,20170103,1
12282698,20170104,1
12282698,20170105,1
12282698,20170106,1
12282698,20170110,1
12282698,20170111,1
12282698,20170112,1
12282698,20170113,1
12282698,20170117,1
12282698,20170118,1
12282698,20170119,1
12282698,20170120,1
12282698,20170124,1
12282698,20170125,1
12282698,20170126,1
12282698,20170127,1
12282698,20170131,1
12282698,20170201,1
12282698,20170202,1
12282698,20170203,1
12282698,20170221,1
12282698,20170222,1
12282698,20170223,1
12282698,20170224,1
12282698,20170228,1
12282698,20170301,1
12282698,20170302,1
12282698,20170303,1
12282698,20170307,1
12282698,20170308,1
12282698,20170309,1
12282698,20170310,1
12282698,20170314,1
12282698,20170315,1
12282698,20170316,1
12282698,20170317,1
12282698,20170321,1
12282698,20170322,1
12282698,20170323,1
12282698,20170324,1
12282698,20170328,1
12282698,20170329,1
12282698,20170330,1
12282698,20170331,1
12282698,20170404,1
12282698,20170405,1
12282698,20170406,1
12282698,20170407,1
12282698,20170425,1
12282698,20170426,1
12282698,20170427,1
12282698,20170428,1
12282704,20170107,1
12282704,20170114,1
12282704,20170121,1
12282704,20170128,1
12282704,20170204,1
12282704,20170225,1
12282704,20170304,1
12282704,20170311,1
12282704,20170318,1
12282704,20170325,1
12282704,20170401,1
12282704,20170408,1
12282704,20170429,1
12282697,20170207,1
12282697,20170208,1
12282697,20170209,1
12282697,20170210,1
12282697,20170214,1
12282697,20170215,1
12282697,20170216,1
12282697,20170217,1
12282697,20170411,1
12282697,20170412,1
12282697,20170413,1
12282697,20170414,1
12282697,20170419,1
12282697,20170420,1
12282697,20170421,1
12282697,20170503,1
12282697,20170504,1
12282697,20170505,1
12282701,20170108,1
12282701,20170115,1
12282701,20170122,1
12282701,20170129,1
12282701,20170205,1
12282701,20170212,1
12282701,20170219,1
12282701,20170312,1
12282701,20170319,1
12282701,20170326,1
12282701,20170402,1
12282701,20170409,1
12282701,20170416,1
12282701,20170423,1
12282702,20170226,1
12282702,20170305,1
12282702,20170430,1
12282702,20170501,1
12282702,20170507,1
12282702,20170508,1
2187395,20161109,1
2187395,20161114,1
2187395,20161115,1
2187395,20161116,1
2187395,20161117,1
2187395,20161121,1
2187395,20161122,1
2187395,20161123,1
2187395,20161124,1
2187395,20161128,1
2187395,20161129,1
2187395,20161130,1
2187395,20161201,1
2187395,20161205,1
2187395,20161206,1
2187395,20161207,1
2187395,20161208,1
2187395,20161212,1
2187395,20161213,1
2187395,20161214,1
2187395,20161215,1
12252992,20161224,1
2282695,20170101,1
2282695,20170108,1
2282695,20170115,1
2282695,20170122,1
2282695,20170129,1
2282695,20170205,1
2282695,20170212,1
2282695,20170219,1
2282695,20170312,1
2282695,20170319,1
2282695,20170326,1
2282695,20170402,1
2282695,20170409,1
2282695,20170417,1
2282695,20170423,1
2025576,20161219,1
2025576,20161220,1
2025576,20161221,1
2025576,20161222,1
2282704,20170106,1
2282704,20170113,1
2282704,20170120,1
2282704,20170127,1
2282704,20170203,1
2282704,20170224,1
2282704,20170303,1
2282704,20170310,1
2282704,20170317,1
2282704,20170324,1
2282704,20170331,1
2282704,20170407,1
2282704,20170428,1
2282696,20170226,1
2282696,20170305,1
2282696,20170501,1
2252992,20161223,1
2282697,20170206,1
2282697,20170207,1
2282697,20170208,1
2282697,20170209,1
2282697,20170213,1
2282697,20170214,1
2282697,20170215,1
2282697,20170216,1
2282697,20170410,1
2282697,20170411,1
2282697,20170412,1
2282697,20170413,1
2282697,20170418,1
2282697,20170419,1
2282697,20170420,1
2282697,20170502,1
2282697,20170503,1
2282697,20170504,1
2282702,20170225,1
2282702,20170304,1
2282702,20170429,1
2282702,20170430,1
2282702,20170506,1
2282702,20170507,1
2181816,20161113,1
2181816,20161120,1
2181816,20161127,1
2181816,20161204,1
2181816,20161211,1
2181816,20161218,1
2181816,20161225,1
2282701,20170107,1
2282701,20170114,1
2282701,20170121,1
2282701,20170128,1
2282701,20170204,1
2282701,20170211,1
2282701,20170218,1
2282701,20170311,1
2282701,20170318,1
2282701,20170325,1
2282701,20170401,1
2282701,20170408,1
2282701,20170415,1
2282701,20170422,1
2187399,20161230,1
12096282,20161112,1
12025576,20161220,1
12025576,20161221,1
12025576,20161222,1
12025576,20161223,1
2187398,20161112,1
2187398,20161119,1
2187398,20161126,1
2187398,20161203,1
2187398,20161210,1
2187398,20161217,1
2187398,20161224,1
2187398,20161231,1
2187397,20161110,1
2187397,20161118,1
2187397,20161125,1
2187397,20161202,1
2187397,20161209,1
2187397,20161216,1
2280396,20170416,1
2096333,20161226,1
2096333,20161227,1
2096333,20161228,1
