service_id,date,exception_type
2274605,20161109,1
2274605,20161110,1
2100344,20161111,1
2100344,20161113,1
2100344,20161120,1
2100343,20161127,1
2100343,20161204,1
2100343,20161211,1
2100343,20161218,1
2100355,20161112,1
2100355,20161119,1
2100355,20161126,1
2100355,20161203,1
2100356,20161231,1
12280435,20161227,1
12280435,20161228,1
12280435,20161229,1
12280435,20161230,1
12280435,20161231,1
2100345,20161205,1
2100345,20161206,1
2100345,20161207,1
2100345,20161208,1
2100345,20161209,1
2100345,20161212,1
2100345,20161213,1
2100345,20161214,1
2100345,20161215,1
2100345,20161216,1
2100345,20161219,1
2100345,20161220,1
2100345,20161221,1
2100345,20161222,1
2100345,20161223,1
12100341,20161226,1
12100343,20161128,1
12100343,20161205,1
12100343,20161212,1
12100343,20161219,1
2280434,20161121,1
2280434,20161122,1
2280434,20161123,1
2280434,20161124,1
2280434,20161125,1
12100356,20170101,1
12100355,20161113,1
12100355,20161120,1
12100355,20161127,1
12100355,20161204,1
2280435,20161226,1
2280435,20161227,1
2280435,20161228,1
2280435,20161229,1
2280435,20161230,1
12274605,20161110,1
12274605,20161111,1
12100345,20161206,1
12100345,20161207,1
12100345,20161208,1
12100345,20161209,1
12100345,20161210,1
12100345,20161213,1
12100345,20161214,1
12100345,20161215,1
12100345,20161216,1
12100345,20161217,1
12100345,20161220,1
12100345,20161221,1
12100345,20161222,1
12100345,20161223,1
12100345,20161224,1
2280432,20161128,1
2280432,20161129,1
2280432,20161130,1
2280432,20161201,1
2280432,20161202,1
12100353,20161211,1
12100353,20161218,1
12100353,20161225,1
12100344,20161112,1
12100344,20161114,1
12100344,20161121,1
2280433,20161114,1
2280433,20161115,1
2280433,20161116,1
2280433,20161117,1
2280433,20161118,1
2100341,20161225,1
12280432,20161129,1
12280432,20161130,1
12280432,20161201,1
12280432,20161202,1
12280432,20161203,1
12280433,20161115,1
12280433,20161116,1
12280433,20161117,1
12280433,20161118,1
12280433,20161119,1
12280434,20161122,1
12280434,20161123,1
12280434,20161124,1
12280434,20161125,1
12280434,20161126,1
2100353,20161210,1
2100353,20161217,1
2100353,20161224,1
