service_id,date,exception_type
12280347,20170126,1
12280347,20170127,1
12280347,20170131,1
12280347,20170201,1
12280347,20170202,1
12280347,20170203,1
12280347,20170221,1
12280347,20170222,1
12280347,20170223,1
12280347,20170224,1
12280347,20170228,1
12280347,20170301,1
12280347,20170302,1
12280347,20170303,1
12280347,20170307,1
12280347,20170308,1
12280347,20170309,1
12280347,20170310,1
12280347,20170314,1
12280347,20170315,1
12280347,20170316,1
12280347,20170317,1
12280347,20170321,1
12280347,20170322,1
12280347,20170323,1
12280347,20170324,1
12280347,20170328,1
12280347,20170329,1
12280347,20170330,1
12280347,20170331,1
12280347,20170404,1
12280347,20170405,1
12280347,20170406,1
12280347,20170407,1
12280347,20170425,1
12280347,20170426,1
12280347,20170427,1
12280347,20170428,1
12280348,20170103,1
12280348,20170104,1
12280348,20170105,1
12280348,20170106,1
