route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
1437329,2100343,1021003430917735,SAXO,SAXO,0,
1437329,2100344,1021003440917735,SAXO,SAXO,0,
1437329,2100353,1021003530917735,SAXO,SAXO,0,
1437329,2100355,1021003550917735,SAXO,SAXO,0,
1437329,2100356,1021003560917735,SAXO,SAXO,0,
1437329,2100343,1621003430917735,SAXO,SAXO,0,
1437329,2100344,1621003440917735,SAXO,SAXO,0,
1437329,2100353,1621003530917735,SAXO,SAXO,0,
1437329,2100355,1621003550917735,SAXO,SAXO,0,
1437329,2100356,1621003560917735,SAXO,SAXO,0,
1437329,2100343,2221003430917735,SAXO,SAXO,0,
1437329,2100344,2221003440917735,SAXO,SAXO,0,
1437329,2100353,2221003530917735,SAXO,SAXO,0,
1437329,2100355,2221003550917735,SAXO,SAXO,0,
1437329,2100356,2221003560917735,SAXO,SAXO,0,
1437329,2280435,1022804351437168,USUR,USUR,0,
1437329,2280435,222804351437168,USUR,USUR,0,
1437329,2280435,1022804351437184,STER,STER,0,
1437329,2280435,1822804351437184,STER,STER,0,
1437329,2280435,222804351437184,STER,STER,0,
1437329,2280435,2622804351437184,STER,STER,0,
1437329,2280435,2822804351437184,STER,STER,0,
1437329,2280435,3422804351437184,STER,STER,0,
1437329,2280435,6822804351437184,STER,STER,0,
1437329,2280435,9222804351437184,STER,STER,0,
1437329,2100343,1221003430917761,JANO,JANO,0,
1437329,2100344,1221003440917761,JANO,JANO,0,
1437329,2100345,1221003450917761,JANO,JANO,0,
1437329,2100353,1221003530917761,JANO,JANO,0,
1437329,2100355,1221003550917761,JANO,JANO,0,
1437329,2100356,1221003560917761,JANO,JANO,0,
1437329,2100343,1821003430917761,JANO,JANO,0,
1437329,2100344,1821003440917761,JANO,JANO,0,
1437329,2100345,1821003450917761,JANO,JANO,0,
1437329,2100353,1821003530917761,JANO,JANO,0,
1437329,2100355,1821003550917761,JANO,JANO,0,
1437329,2100356,1821003560917761,JANO,JANO,0,
1437329,2100343,2421003430917761,JANO,JANO,0,
1437329,2100344,2421003440917761,JANO,JANO,0,
1437329,2100345,2421003450917761,JANO,JANO,0,
1437329,2100353,2421003530917761,JANO,JANO,0,
1437329,2100355,2421003550917761,JANO,JANO,0,
1437329,2100356,2421003560917761,JANO,JANO,0,
1437329,2100343,3021003430917761,JANO,JANO,0,
1437329,2100344,3021003440917761,JANO,JANO,0,
1437329,2100345,3021003450917761,JANO,JANO,0,
1437329,2100353,3021003530917761,JANO,JANO,0,
