service_id,date,exception_type
2025118,20161219,1
2025118,20161220,1
2025118,20161221,1
2025118,20161222,1
2280265,20170101,1
2280265,20170108,1
2280265,20170115,1
2280265,20170122,1
2280265,20170129,1
2280265,20170205,1
2280265,20170212,1
2280265,20170219,1
2280265,20170226,1
2280265,20170305,1
2280265,20170312,1
2280265,20170319,1
2280265,20170326,1
2280265,20170402,1
2280265,20170409,1
2280265,20170417,1
2280265,20170423,1
2280265,20170501,1
2025119,20161112,1
2025119,20161119,1
2025119,20161126,1
2025119,20161203,1
2025119,20161210,1
2025119,20161217,1
2025119,20161224,1
2025119,20161231,1
12280265,20170102,1
12280265,20170109,1
12280265,20170116,1
12280265,20170123,1
12280265,20170130,1
12280265,20170206,1
12280265,20170213,1
12280265,20170220,1
12280265,20170227,1
12280265,20170306,1
12280265,20170313,1
12280265,20170320,1
12280265,20170327,1
12280265,20170403,1
12280265,20170410,1
12280265,20170418,1
12280265,20170424,1
12280265,20170502,1
2025114,20161111,1
2025115,20161109,1
2025115,20161114,1
2025115,20161115,1
2025115,20161116,1
2025115,20161117,1
2025115,20161121,1
2025115,20161122,1
2025115,20161123,1
2025115,20161124,1
2025115,20161128,1
2025115,20161129,1
2025115,20161130,1
2025115,20161201,1
2025115,20161205,1
2025115,20161206,1
2025115,20161207,1
2025115,20161208,1
2025115,20161212,1
2025115,20161213,1
2025115,20161214,1
2025115,20161215,1
12280267,20170417,1
12280267,20170501,1
12280267,20170508,1
12280268,20170103,1
12280268,20170104,1
12280268,20170105,1
12280268,20170106,1
12280268,20170110,1
12280268,20170111,1
12280268,20170112,1
12280268,20170113,1
12280268,20170117,1
12280268,20170118,1
12280268,20170119,1
12280268,20170120,1
12280268,20170124,1
12280268,20170125,1
12280268,20170126,1
12280268,20170127,1
12280268,20170131,1
12280268,20170201,1
12280268,20170202,1
12280268,20170203,1
12280268,20170221,1
12280268,20170222,1
12280268,20170223,1
12280268,20170224,1
12280268,20170228,1
12280268,20170301,1
12280268,20170302,1
12280268,20170303,1
12280268,20170307,1
12280268,20170308,1
12280268,20170309,1
12280268,20170310,1
12280268,20170314,1
12280268,20170315,1
12280268,20170316,1
12280268,20170317,1
12280268,20170321,1
12280268,20170322,1
12280268,20170323,1
12280268,20170324,1
12280268,20170328,1
12280268,20170329,1
12280268,20170330,1
12280268,20170331,1
12280268,20170404,1
12280268,20170405,1
12280268,20170406,1
12280268,20170407,1
12280268,20170425,1
12280268,20170426,1
12280268,20170427,1
12280268,20170428,1
2025117,20161226,1
2025117,20161227,1
2025117,20161228,1
2025117,20161229,1
2280268,20170102,1
2280268,20170103,1
2280268,20170104,1
2280268,20170105,1
2280268,20170109,1
2280268,20170110,1
2280268,20170111,1
2280268,20170112,1
2280268,20170116,1
2280268,20170117,1
2280268,20170118,1
2280268,20170119,1
2280268,20170123,1
2280268,20170124,1
2280268,20170125,1
2280268,20170126,1
2280268,20170130,1
2280268,20170131,1
2280268,20170201,1
2280268,20170202,1
2280268,20170220,1
2280268,20170221,1
2280268,20170222,1
2280268,20170223,1
2280268,20170227,1
2280268,20170228,1
2280268,20170301,1
2280268,20170302,1
2280268,20170306,1
2280268,20170307,1
2280268,20170308,1
2280268,20170309,1
2280268,20170313,1
2280268,20170314,1
2280268,20170315,1
2280268,20170316,1
2280268,20170320,1
2280268,20170321,1
2280268,20170322,1
2280268,20170323,1
2280268,20170327,1
2280268,20170328,1
2280268,20170329,1
2280268,20170330,1
2280268,20170403,1
2280268,20170404,1
2280268,20170405,1
2280268,20170406,1
2280268,20170424,1
2280268,20170425,1
2280268,20170426,1
2280268,20170427,1
2280267,20170416,1
2280267,20170430,1
2280267,20170507,1
2025122,20161110,1
2025122,20161118,1
2025122,20161125,1
2025122,20161202,1
2025122,20161209,1
2025122,20161216,1
12025122,20161111,1
12025122,20161119,1
12025122,20161126,1
12025122,20161203,1
12025122,20161210,1
12025122,20161217,1
2025124,20161223,1
2025123,20161230,1
12025123,20161231,1
12025124,20161224,1
2280275,20170106,1
2280275,20170113,1
2280275,20170120,1
2280275,20170127,1
2280275,20170203,1
2280275,20170224,1
2280275,20170303,1
2280275,20170310,1
2280275,20170317,1
2280275,20170324,1
2280275,20170331,1
2280275,20170407,1
2280275,20170428,1
12025114,20161112,1
12280277,20170211,1
12280277,20170218,1
12280277,20170415,1
12280277,20170422,1
12280277,20170506,1
2280277,20170210,1
2280277,20170217,1
2280277,20170414,1
2280277,20170421,1
2280277,20170505,1
12025115,20161110,1
12025115,20161115,1
12025115,20161116,1
12025115,20161117,1
12025115,20161118,1
12025115,20161122,1
12025115,20161123,1
12025115,20161124,1
12025115,20161125,1
12025115,20161129,1
12025115,20161130,1
12025115,20161201,1
12025115,20161202,1
12025115,20161206,1
12025115,20161207,1
12025115,20161208,1
12025115,20161209,1
12025115,20161213,1
12025115,20161214,1
12025115,20161215,1
12025115,20161216,1
12280275,20170107,1
12280275,20170114,1
12280275,20170121,1
12280275,20170128,1
12280275,20170204,1
12280275,20170225,1
12280275,20170304,1
12280275,20170311,1
12280275,20170318,1
12280275,20170325,1
12280275,20170401,1
12280275,20170408,1
12280275,20170429,1
2280271,20170206,1
2280271,20170207,1
2280271,20170208,1
2280271,20170209,1
2280271,20170213,1
2280271,20170214,1
2280271,20170215,1
2280271,20170216,1
2280271,20170410,1
2280271,20170411,1
2280271,20170412,1
2280271,20170413,1
2280271,20170418,1
2280271,20170419,1
2280271,20170420,1
2280271,20170502,1
2280271,20170503,1
2280271,20170504,1
12025112,20161114,1
12025112,20161121,1
12025112,20161128,1
12025112,20161205,1
12025112,20161212,1
12025112,20161219,1
12025112,20161226,1
2280272,20170107,1
2280272,20170114,1
2280272,20170121,1
2280272,20170128,1
2280272,20170204,1
2280272,20170211,1
2280272,20170218,1
2280272,20170225,1
2280272,20170304,1
2280272,20170311,1
2280272,20170318,1
2280272,20170325,1
2280272,20170401,1
2280272,20170408,1
2280272,20170415,1
2280272,20170422,1
2280272,20170429,1
2280272,20170506,1
12280271,20170207,1
12280271,20170208,1
12280271,20170209,1
12280271,20170210,1
12280271,20170214,1
12280271,20170215,1
12280271,20170216,1
12280271,20170217,1
12280271,20170411,1
12280271,20170412,1
12280271,20170413,1
12280271,20170414,1
12280271,20170419,1
12280271,20170420,1
12280271,20170421,1
12280271,20170503,1
12280271,20170504,1
12280271,20170505,1
12280272,20170108,1
12280272,20170115,1
12280272,20170122,1
12280272,20170129,1
12280272,20170205,1
12280272,20170212,1
12280272,20170219,1
12280272,20170226,1
12280272,20170305,1
12280272,20170312,1
12280272,20170319,1
12280272,20170326,1
12280272,20170402,1
12280272,20170409,1
12280272,20170416,1
12280272,20170423,1
12280272,20170430,1
12280272,20170507,1
12025118,20161220,1
12025118,20161221,1
12025118,20161222,1
12025118,20161223,1
12025117,20161227,1
12025117,20161228,1
12025117,20161229,1
12025117,20161230,1
12025119,20161113,1
12025119,20161120,1
12025119,20161127,1
12025119,20161204,1
12025119,20161211,1
12025119,20161218,1
12025119,20161225,1
12025119,20170101,1
2025112,20161113,1
2025112,20161120,1
2025112,20161127,1
2025112,20161204,1
2025112,20161211,1
2025112,20161218,1
2025112,20161225,1
