route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
1197620,2025587,10020255870912413,101,101,0,
1197620,2025590,10020255900912413,101,101,0,
1197620,2025592,10020255920912413,101,101,0,
1197620,2025593,10020255930912413,101,101,0,
1197620,2280400,10022804000912413,101,101,0,
1197620,2280405,10022804050912413,101,101,0,
1197620,2280406,10022804060912413,101,101,0,
1197620,2025587,10120255870912413,101,101,0,
1197620,2025590,10120255900912413,101,101,0,
1197620,2025592,10120255920912413,101,101,0,
1197620,2025593,10120255930912413,101,101,0,
1197620,2280400,10122804000912413,101,101,0,
1197620,2280405,10122804050912413,101,101,0,
1197620,2280406,10122804060912413,101,101,0,
1197620,2025587,1020255870912413,101,101,0,
1197620,2025590,1020255900912413,101,101,0,
1197620,2025592,1020255920912413,101,101,0,
1197620,2025593,1020255930912413,101,101,0,
1197620,2025587,10220255870912413,101,101,0,
1197620,2025590,10220255900912413,101,101,0,
1197620,2025592,10220255920912413,101,101,0,
1197620,2025593,10220255930912413,101,101,0,
1197620,2280400,10222804000912413,101,101,0,
1197620,2280405,10222804050912413,101,101,0,
1197620,2280406,10222804060912413,101,101,0,
1197620,2280400,1022804000912413,101,101,0,
1197620,2280405,1022804050912413,101,101,0,
1197620,2280406,1022804060912413,101,101,0,
1197620,2025587,10320255870912413,101,101,0,
1197620,2025590,10320255900912413,101,101,0,
1197620,2025592,10320255920912413,101,101,0,
1197620,2025593,10320255930912413,101,101,0,
1197620,2280400,10322804000912413,101,101,0,
1197620,2280405,10322804050912413,101,101,0,
1197620,2280406,10322804060912413,101,101,0,
1197620,2025587,10420255870912413,101,101,0,
1197620,2025590,10420255900912413,101,101,0,
1197620,2025592,10420255920912413,101,101,0,
1197620,2025593,10420255930912413,101,101,0,
1197620,2280400,10422804000912413,101,101,0,
1197620,2280405,10422804050912413,101,101,0,
1197620,2280406,10422804060912413,101,101,0,
1197620,2025587,10520255870912413,101,101,0,
1197620,2025590,10520255900912413,101,101,0,
1197620,2025592,10520255920912413,101,101,0,
1197620,2025593,10520255930912413,101,101,0,
1197620,2280400,10522804000912413,101,101,0,
1197620,2280405,10522804050912413,101,101,0,
1197620,2280406,10522804060912413,101,101,0,
1197620,2025587,10620255870912413,101,101,0,
1197620,2025590,10620255900912413,101,101,0,
1197620,2025592,10620255920912413,101,101,0,
1197620,2025593,10620255930912413,101,101,0,
1197620,2280400,10622804000912413,101,101,0,
1197620,2280405,10622804050912413,101,101,0,
1197620,2280406,10622804060912413,101,101,0,
1197620,2025587,10720255870912413,101,101,0,
1197620,2025590,10720255900912413,101,101,0,
1197620,2025592,10720255920912413,101,101,0,
1197620,2025593,10720255930912413,101,101,0,
1197620,2280400,10722804000912413,101,101,0,
1197620,2280405,10722804050912413,101,101,0,
1197620,2280406,10722804060912413,101,101,0,
1197620,2025587,10820255870912413,101,101,0,
1197620,2025590,10820255900912413,101,101,0,
1197620,2025592,10820255920912413,101,101,0,
1197620,2025593,10820255930912413,101,101,0,
1197620,2280400,10822804000912413,101,101,0,
1197620,2280405,10822804050912413,101,101,0,
1197620,2280406,10822804060912413,101,101,0,
1197620,2025587,10920255870912413,101,101,0,
1197620,2025590,10920255900912413,101,101,0,
1197620,2025592,10920255920912413,101,101,0,
1197620,2025593,10920255930912413,101,101,0,
1197620,2280400,10922804000912413,101,101,0,
1197620,2280405,10922804050912413,101,101,0,
