service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
12252991,0,0,0,0,0,0,0,20161115,20161231
2252991,0,0,0,0,0,0,0,20161114,20161230
12209898,0,0,0,0,0,0,0,20161110,20161111
2045787,0,0,0,0,0,0,0,20161210,20161225
12029950,0,0,0,0,0,0,0,20161112,20161205
2029950,0,0,0,0,0,0,0,20161111,20161204
12045787,0,0,0,0,0,0,0,20161211,20161226
2209898,0,0,0,0,0,0,0,20161109,20161110
