from_stop_id,to_stop_id,transfer_type,min_transfer_time
4614419,2143,2,207
1835,3926288,2,210
1835,3926287,2,277
1840,3681684,2,321
1835,3926286,2,253
6401790,2499,2,305
2545,3749983,2,234
5231565,2304,2,249
2545,3749982,2,234
3686590,2490,2,268
3716895,2211,2,207
2084,2147,2,211
1855,1967,2,150
1840,3639424,2,198
2084,2148,2,94
1840,3639423,2,188
4024020,2238,2,220
3616887,2010,2,211
4996975,2211,2,220
3686596,2490,2,268
4614394,2481,2,201
3620270,2490,2,242
3619432,2300,2,197
2481,4035997,2,234
1839,3681607,2,209
3922317,2010,2,209
1839,3681606,2,200
2306,3682674,2,200
5688934,1835,2,267
3677686,1839,2,209
5688948,1631,2,215
1652,4614324,2,297
4024109,2238,2,198
5150290,2532,2,272
2306,3682675,2,209
2545,5018183,2,274
3683454,1689,2,230
2207,2211,2,800
4726946,2211,2,216
2545,5018182,2,261
3718031,2024,2,220
6187689,2368,2,322
4614502,2532,2,295
4037747,2238,2,258
3765149,2053,2,279
3616866,2129,2,209
1943,3690460,2,207
5478456,2244,2,316
5018188,2053,2,279
2053,4036753,2,192
3681543,1636,2,207
2053,4036752,2,211
1835,1832,2,230
4557338,1689,2,305
4009366,2238,2,196
1835,1833,2,219
3718032,2143,2,220
4024169,2238,2,192
4037172,2302,2,277
2102,4036752,2,211
3682832,2304,2,220
2129,3682633,2,193
4037746,1913,2,199
2102,4036753,2,192
2129,3682634,2,193
6195714,1913,2,192
5478422,1904,2,191
4016797,2238,2,220
4109757,1837,2,252
4798790,2143,2,226
1913,2283,2,180
4028843,1838,2,288
4614420,2024,2,201
4008849,2084,2,219
3687007,1848,2,200
4723876,1919,2,267
5231664,1652,2,309
4726945,2211,2,207
4028914,2010,2,205
6401790,1689,2,305
4022916,1913,2,220
4037235,2545,2,198
3682832,1837,2,220
3686590,1680,2,268
1166834,1967,2,480
3620271,2490,2,226
4025237,2370,2,273
1943,3690487,2,207
4037766,2545,2,198
2143,3619742,2,220
4557334,2143,2,220
2532,4614261,2,297
1835,1651,2,178
2532,4614262,2,249
2238,4024843,2,254
4472658,2238,2,258
2238,4024844,2,220
2084,4008385,2,206
1913,5150163,2,220
1913,5150164,2,192
6187503,1830,2,249
4614462,1652,2,259
1943,3690435,2,207
1759,2211,2,500
4009366,1913,2,196
4022899,2084,2,233
4997022,2211,2,190
5478355,2143,2,215
2339,1835,2,180
2222,1965,2,480
4024458,2368,2,189
3677686,2306,2,209
2053,4459242,2,211
3682881,1837,2,211
4023814,1643,2,204
1689,3685896,2,258
4109757,2304,2,252
3663659,2315,2,216
1839,3681673,2,209
3663697,1671,2,310
4023189,1829,2,216
1166830,2211,2,900
3688519,1689,2,258
2030,2084,2,223
1689,3685897,2,223
2499,3685706,2,230
2499,3685707,2,208
4726747,2084,2,259
4028877,2010,2,205
3677876,2326,2,216
4022917,1913,2,220
6401847,1689,2,296
2368,4208607,2,216
4614367,2532,2,249
4024814,2238,2,210
2480,4473156,2,238
2480,4473157,2,238
4008890,2102,2,211
4199370,1689,2,199
1670,4035021,2,238
2222,2036,2,400
1670,4035022,2,238
6401808,2143,2,226
3686591,2490,2,268
2499,3690366,2,214
4024344,2238,2,195
5251796,2458,2,224
2499,3690365,2,193
2499,3690364,2,324
4726943,1956,2,198
2499,3690363,2,297
3683569,1689,2,305
4614462,2532,2,259
2314,2102,2,300
1967,2036,2,400
2499,3690368,2,296
6401889,2024,2,220
2307,3639489,2,197
3677651,1636,2,265
3663610,2481,2,216
6217342,1829,2,273
2307,3639486,2,321
2307,3639487,2,303
2307,3639488,2,202
4008848,2084,2,206
3718080,2024,2,220
3681486,1636,2,237
3672169,1835,2,277
6401890,2143,2,226
6217341,1829,2,184
4726945,1956,2,207
2545,2147,2,254
2545,2148,2,117
5688935,2302,2,188
5675598,2074,2,247
4016736,1913,2,191
3619433,2300,2,205
1166833,1956,2,180
6401849,1689,2,230
4024820,1913,2,210
4473043,1830,2,334
2224140,2102,2,218
2370,4024337,2,183
2370,4024336,2,230
4473048,2368,2,189
4024458,1829,2,189
1904,3619670,2,205
4473049,2368,2,273
6217336,2369,2,257
4016737,2238,2,220
4025237,1831,2,273
5478346,1919,2,267
2084,4035037,2,206
3747813,2053,2,211
6217341,2368,2,184
5478433,2481,2,282
2084,4035036,2,219
1968,1967,2,300
3682998,1837,2,211
4024791,2238,2,210
6401847,2499,2,296
5231611,1956,2,263
4614551,1652,2,278
4025044,1713,2,245
1956,3764979,2,198
4723885,2143,2,215
3683012,1837,2,236
1956,3764980,2,263
4024244,2458,2,233
2339,2302,2,180
4023963,1913,2,220
4036224,2300,2,191
4044996,1956,2,263
3683012,2304,2,236
5478356,2143,2,215
4146116,2302,2,269
2511,3926268,2,215
4723845,2481,2,297
4614551,2532,2,278
3686751,2244,2,274
1835,2371,2,222
5675643,1956,2,262
3682810,2304,2,236
3765256,1956,2,213
5231611,2211,2,263
2370,4024979,2,202
2511,3926269,2,215
4557294,2499,2,230
2370,4024324,2,258
3639717,1840,2,321
4471843,2211,2,190
4023190,1829,2,189
4996977,2211,2,259
4798810,1837,2,257
1831,4473166,2,317
3922297,1838,2,298
3639715,1840,2,198
4109755,2304,2,234
2322,1967,2,150
4022918,2238,2,192
2368,4025386,2,219
2370,4035031,2,317
3687008,2315,2,289
4028810,2129,2,205
4723875,2244,2,283
4037215,2545,2,218
3663656,1671,2,234
4024792,2238,2,220
2313,2053,2,300
4028775,1838,2,298
4199370,2499,2,199
3716895,1956,2,207
5150763,2211,2,207
5231651,2499,2,208
3672236,2302,2,277
5138224,2102,2,260
4037174,2302,2,193
3687692,2511,2,222
4036223,2305,2,298
2545,4035037,2,206
2545,4035036,2,219
6217406,2084,2,206
3747814,2102,2,192
3747837,2211,2,189
1956,4459260,2,189
4024462,1831,2,183
5675644,1956,2,207
3343767,2053,2,180
4024086,1831,2,230
3682921,1838,2,207
4378331,2481,2,188
2238,2283,2,180
6217340,2368,2,201
6217337,2369,2,249
4109756,2304,2,255
3686064,2305,2,298
3877805,1713,2,216
2030,2545,2,277
3682863,2305,2,201
2024,3619742,2,220
3708146,2129,2,209
4036224,1904,2,191
3682810,1837,2,236
3677876,1859,2,216
5675682,1680,2,229
4028842,2305,2,298
2222,2220,2,480
5150763,1956,2,207
1846,2053,2,250
6187508,1829,2,273
3663622,1671,2,310
3677797,2326,2,216
5231613,2211,2,189
3677844,2326,2,200
5231664,2532,2,309
3343768,2053,2,180
6187503,2369,2,249
3677877,2326,2,216
1835,2531,2,149
4726944,2211,2,190
2499,3685761,2,208
2499,3685760,2,230
3716926,2211,2,207
4028842,1838,2,298
3663618,2315,2,200
3619474,1904,2,205
4798809,1837,2,234
3683476,2143,2,220
4028771,2198,2,197
4037184,2211,2,189
4028811,2010,2,205
6187700,2368,2,184
5688958,1835,2,269
4614485,2532,2,309
4472659,1913,2,199
3686751,1919,2,274
1759,1956,2,500
3663685,2481,2,216
3765256,2211,2,213
3677678,2326,2,216
1713,4035030,2,233
5231613,1956,2,189
1713,4035029,2,220
5675643,2211,2,262
5478315,2481,2,297
5478458,1919,2,218
4378331,1671,2,188
4723887,2143,2,299
5688950,2511,2,222
3620270,1680,2,242
3683453,2499,2,296
4024243,2458,2,234
5478315,1671,2,297
4109734,2305,2,298
4614461,1652,2,249
2300,3619629,2,227
3765193,1956,2,220
3686597,2490,2,268
1839,3682674,2,200
3682922,2305,2,201
1839,3682675,2,209
3682882,1837,2,249
4614234,2129,2,205
4723886,2143,2,215
3683011,2304,2,236
2369,4130520,2,340
2307,3681662,2,303
4036206,2211,2,207
4614254,1652,2,248
2307,3681661,2,204
3926212,2053,2,192
2307,3681660,2,198
3677827,2326,2,216
4037767,2084,2,233
2302,3926289,2,193
2302,3926287,2,277
3616865,2129,2,211
2302,3926288,2,210
3765192,2102,2,211
2302,3926286,2,253
4023190,2368,2,189
2198,3685881,2,207
2198,3685880,2,197
1831,4024324,2,258
4037173,1835,2,210
4473043,2369,2,334
1689,3690444,2,324
2307,3681632,2,303
2307,3681631,2,204
3765194,1956,2,220
3672169,2302,2,277
4726944,1956,2,190
3681543,2516,2,207
1689,3690442,2,296
1689,3690443,2,214
1831,5150745,2,290
4009365,1913,2,205
3764798,2102,2,211
2307,3681630,2,198
6217343,1829,2,266
4614484,1652,2,322
1830,4130520,2,340
4473047,2368,2,190
4614254,2532,2,248
6187506,2368,2,201
5478345,2244,2,283
4037800,2238,2,220
3688518,1689,2,261
1904,3619629,2,227
4022918,1913,2,192
4037171,1835,2,269
3682988,1838,2,207
6187502,2369,2,257
2211,3926339,2,213
2369,4024925,2,334
2369,4024926,2,317
3813137,2545,2,261
1956,3813083,2,198
1956,3813082,2,259
1956,3813085,2,207
1956,3813084,2,190
4037183,1956,2,198
1956,3813086,2,207
3687008,1848,2,289
2300,3619670,2,205
3619433,1904,2,205
4024197,1913,2,192
4102132,2458,2,216
6187700,1829,2,184
4037215,2084,2,218
1713,4473165,2,233
4022920,1913,2,210
5775568,2238,2,232
1713,4473164,2,220
5251795,1713,2,322
3663584,2315,2,216
2221,2222,2,400
3677679,2326,2,217
4996976,1956,2,198
2368,4025355,2,216
2545,4008222,2,206
2545,4008223,2,219
2545,4008224,2,240
4024259,2238,2,203
2545,4008225,2,273
4022917,2238,2,220
4024462,2370,2,183
4044996,2211,2,263
3922297,2305,2,298
3716894,1956,2,213
2302,2531,2,171
4037216,2084,2,233
4723875,1919,2,283
2370,5150172,2,227
5478422,2300,2,191
2010,4208517,2,193
2010,4208518,2,193
1689,3690472,2,324
1689,3690471,2,214
3718086,2143,2,211
4726947,1956,2,215
1689,3690470,2,296
5688948,2511,2,215
2307,3681684,2,321
2307,3681685,2,198
4180943,2143,2,220
4023189,2368,2,216
6187507,2368,2,184
2307,3681686,2,216
1913,1887,2,180
4726946,1956,2,216
5675642,2211,2,189
4022898,2545,2,218
4614501,2307,2,205
3718117,2143,2,214
1631,3926269,2,215
5657318,2302,2,269
4996975,1956,2,220
3620271,1680,2,226
3681447,1636,2,237
5775569,2238,2,192
3813138,2084,2,278
5688933,2302,2,268
4996974,1956,2,205
5688934,2302,2,267
5151256,2238,2,220
4022945,2545,2,198
5688933,1835,2,268
2499,3690444,2,324
4016736,2238,2,191
4023962,2238,2,198
4471844,1956,2,220
1166832,1956,2,180
3686062,1943,2,197
4037768,2545,2,218
5478458,2244,2,218
2223,1967,2,300
4024446,1831,2,217
1831,5150172,2,227
3686084,2010,2,209
4726947,2211,2,215
5138031,2053,2,217
2499,3690442,2,296
3716894,2211,2,213
2499,3690443,2,214
1846,2102,2,300
4016797,1913,2,220
4008848,2545,2,206
6217405,2545,2,219
4037800,1913,2,220
4557335,2024,2,226
3686591,1680,2,268
1713,4024952,2,189
1713,4024953,2,215
4037216,2545,2,233
1840,3681580,2,198
1840,3681581,2,191
1840,3681582,2,204
1952,2211,2,800
1840,3681583,2,202
4022900,2084,2,207
1840,3681584,2,303
1840,3681585,2,321
3677652,1636,2,265
4471844,2211,2,220
4996976,2211,2,198
1713,4024951,2,256
4023815,1643,2,316
2302,2371,2,253
4997022,1956,2,190
4557292,1689,2,296
4024344,1913,2,195
5675685,2123,2,247
4199369,1689,2,190
1956,2210,2,225
1670,4473156,2,238
1670,4473157,2,238
2211,4459260,2,189
2206,2211,2,800
1671,4035945,2,310
4024813,2238,2,220
4024243,1713,2,234
3926213,2053,2,211
1834,1835,2,200
5138224,2053,2,260
4614555,2532,2,249
2322,2222,2,150
4025301,1831,2,273
4025260,1831,2,258
3682808,2304,2,211
4726918,2102,2,211
3639715,2307,2,198
3677813,1859,2,200
4471843,1956,2,190
3686733,2481,2,297
4614233,2010,2,205
2221,1967,2,400
3677687,2306,2,200
3616887,2129,2,211
2306,4208560,2,200
2306,4208561,2,209
2369,3887665,2,334
4036207,1956,2,189
3683010,1837,2,227
5151257,2238,2,220
3765193,2211,2,220
1713,4024970,2,215
5018223,2053,2,211
2053,4016338,2,260
1831,4024979,2,202
3922317,2129,2,209
3682833,1837,2,236
1847,2053,2,250
4473044,2369,2,317
5151256,1913,2,220
3663581,1671,2,234
1966,2222,2,400
4726943,2211,2,198
3718031,2143,2,220
3877804,1713,2,201
3688518,2499,2,261
4028843,2305,2,288
6401770,2024,2,226
4614419,2024,2,207
2084,2028,2,196
2084,2029,2,145
6401849,2499,2,230
2370,5150745,2,290
3639714,2307,2,198
1830,3887681,2,297
3683454,2499,2,230
1968,2222,2,300
4024813,1913,2,220
1831,4024336,2,230
1831,4024337,2,183
1166835,1967,2,480
1834,2302,2,180
3639714,1840,2,198
1829,4208643,2,219
4723876,2244,2,267
4028810,2010,2,205
4037217,2084,2,207
1671,4035997,2,234
2499,3690419,2,193
3677797,1859,2,216
2499,3690417,2,297
1680,3619312,2,270
2499,3690418,2,324
1680,3619313,2,247
1830,3887665,2,334
2458,4035029,2,220
3619404,2300,2,197
5688936,1835,2,199
5138167,2053,2,217
1689,3685816,2,208
4037183,2211,2,198
2053,4036658,2,192
1689,3685815,2,230
3677844,1859,2,200
3687007,2315,2,200
5688935,1835,2,188
4723845,1671,2,297
5688936,2302,2,199
5478345,1919,2,283
2102,4459242,2,211
1713,4024592,2,246
1713,4024593,2,228
2302,2338,2,226
4008890,2053,2,211
1713,4024599,2,228
4614644,1652,2,249
2499,3690422,2,296
2102,1890,2,250
4024792,1913,2,220
1631,5922163,2,255
2499,3690420,2,214
1631,5922162,2,193
3682862,2305,2,207
2369,3887681,2,297
6187502,1830,2,257
1631,3926268,2,215
6195713,2238,2,209
1166832,2211,2,180
4023743,1643,2,316
2516,4208596,2,198
2516,4208597,2,198
3718081,2143,2,211
1855,2222,2,150
3682863,1838,2,201
5675685,2074,2,247
5231571,1689,2,230
4028914,2129,2,205
1636,3682706,2,198
6217342,2368,2,273
1636,3682707,2,198
3619837,2300,2,248
4036188,2305,2,288
4472700,1913,2,220
2458,4024951,2,256
2458,4024952,2,189
4028878,2129,2,205
2499,3685815,2,230
2499,3685816,2,208
5688958,2302,2,269
2458,4024953,2,215
4109756,1837,2,255
4798797,2305,2,298
2458,4035030,2,233
6401808,2024,2,226
2149,2545,2,256
3682941,2304,2,249
4378330,1671,2,243
6401890,2024,2,226
4614396,1671,2,234
4037184,1956,2,189
3683011,1837,2,236
5478263,2481,2,297
6217340,1829,2,201
3619432,1904,2,197
1831,4024933,2,221
1831,4024934,2,217
1829,4208607,2,216
2102,4036658,2,192
3683010,2304,2,227
4614202,1838,2,227
4557292,2499,2,296
4473050,1829,2,266
3687049,2315,2,211
3686064,1838,2,298
4472659,2238,2,258
4016737,1913,2,220
2211,3813082,2,259
2211,3813084,2,190
2211,3813083,2,198
2211,3813086,2,207
3765257,2211,2,198
2211,3813085,2,207
2458,4024970,2,215
2053,4016361,2,211
3677798,1859,2,200
1967,1965,2,480
4024287,2458,2,234
3926213,2102,2,211
4996977,1956,2,259
5231612,1956,2,207
4024089,1831,2,290
2084,3749983,2,234
4614502,1652,2,295
2084,3749982,2,234
5657319,2302,2,199
4726942,1956,2,259
5775568,1913,2,203
3677678,1859,2,216
1166835,2222,2,480
4025045,1713,2,229
4614553,2307,2,205
3343768,2102,2,180
2302,1832,2,248
5688949,2511,2,161
2302,1833,2,236
3663584,1848,2,216
2302,1651,2,209
4614203,2305,2,216
3718032,2024,2,220
4028776,2305,2,288
2222,2155,2,400
2117,1956,2,900
1166833,2211,2,180
3682881,2304,2,211
5688950,1631,2,222
6187509,1829,2,266
3686597,1680,2,268
4024820,2238,2,210
5018188,2102,2,279
4037171,2302,2,269
5657319,1835,2,199
3616866,2010,2,209
5150173,2370,2,227
4022919,2238,2,198
2211,4036640,2,198
2437,2211,2,500
4024459,1829,2,189
6401889,2143,2,220
3677651,2516,2,265
5251796,1713,2,224
2224140,2053,2,218
5675641,1956,2,216
3681448,2516,2,207
1967,2155,2,400
2499,3690470,2,296
5688949,1631,2,161
2499,3690472,2,324
2499,3690471,2,214
5478433,1671,2,282
3718080,2143,2,220
4557334,2024,2,220
5478457,1919,2,281
4024244,1713,2,233
5761373,1713,2,224
3682809,2304,2,236
3663581,2481,2,234
4109735,1838,2,288
6195713,1913,2,209
5478356,2024,2,215
3677812,2326,2,200
4037794,2545,2,207
2102,4016338,2,260
3747814,2053,2,192
5231570,2499,2,296
5478456,1919,2,316
2084,4008225,2,273
2545,2028,2,234
2084,4008224,2,240
2545,2029,2,168
4022900,2545,2,207
3764799,2102,2,192
4023963,2238,2,220
2084,4008223,2,219
2084,4008222,2,206
2102,2286,2,250
1671,3730101,2,243
1671,3730102,2,188
6217343,2368,2,266
4109828,1837,2,234
4614394,1671,2,201
1956,3926339,2,213
1904,3619390,2,280
2223,2222,2,300
1689,3685760,2,230
4024459,2368,2,189
5138167,2102,2,217
1689,3685761,2,208
5018223,2102,2,211
1904,3619391,2,205
4024109,1913,2,198
